"","analytes","value_Min","value_Q25","value_Median","value_Q75","value_Max","value_Mean","value_StdDev","value_count"
"1","BDE-100 Results_SN",0,7.14891214228508,13.1751144051719,23.0291153256288,153.111997504407,19.5753069603727,22.1867367166706,162
"2","BDE-153 Results_SN",0,8.81845556976717,15.5327298662461,29.2297304146513,498.620966763891,27.5594431553207,47.2749248477895,162
"3","BDE-47 Results_SN",0,15.6631711734723,25.3027701289748,39.820784590665,758.475156287918,38.1982862959229,66.4943593390021,162
"4","BDE-99 Results_SN",0,42.4402262619758,73.5100347754249,140.602334108097,551.871799338203,108.397514748697,97.6047202960504,162
"5","HCB Results_SN",0,41.0713653669628,56.8598685991972,73.8622451365238,170.722994520265,59.1072409525529,30.2951573681242,162
"6","pp-DDE Results_SN",0,8.50080544412847,12.74736523287,18.3463150827836,104.147316598587,16.1965636203253,15.1357838030507,162
"7","pp-DDT Results_SN",0,1.3942401514617,2.3637739153401,3.56711648872747,53.0364212108756,5.4851086545576,10.1132031101742,162
"8","trans Chlordane Results_SN",0,1.06483250576054,100,100,8029.62210085123,143.154544550129,741.769777731052,162
"9","trans-Nonachlor Results_SN",0,21.1131960752713,100,100,100,60.2142170461839,44.0051849432626,162
