"","analytes","value_Min","value_Q25","value_Median","value_Q75","value_Max","value_Mean","value_StdDev","value_count"
"1","PCB 74 Results_conc",0.0341119966343072,0.0805532077248301,0.0961636435493118,0.184367863426085,0.97002370244837,0.140157841313559,0.109271500351997,162
"2","PCB-101 Results_conc",0,0.83414812660383,0.995837261150578,1.57245020678973,4.17499806516856,1.37148011008673,0.933639428035164,162
"3","PCB-105 Results_conc",0,0.0121244296455102,0.0176121677733138,0.0237885721690437,0.0722306037770396,0.0190884639738972,0.0101105243084039,162
"4","PCB-118 Results_conc",0,0.0550917914588384,0.0651486146110833,0.111077793892332,0.244653571131908,0.0867090680336531,0.0538803798746977,162
"5","PCB-138 Results_conc",0,0.0217141832747385,0.0261128519843089,0.0413614868521118,0.801326579021087,0.0384650648603657,0.0642972602798698,162
"6","PCB-153 Results_conc",0,0.0389724828236224,0.0458346034033854,0.0743003055134116,0.320526605892214,0.0587123901255915,0.0378526481035476,162
"7","PCB-156 Results_conc",0,0.000434055226309296,0.000707128960671005,0.0010696958815592,0.599342949261471,0.00650139952235248,0.0504406719800318,162
"8","PCB-157 Results_conc",0,0,0,4.01106277721592e-05,0.459149925285502,0.00518739540533726,0.0412564852533823,162
"9","PCB-180 Results_conc",0,0.00177401279318054,0.0027968210077089,0.00373584107305934,0.15045160708833,0.00615100228947602,0.0191866054551374,162
"10","PCB-183 Results_conc",0,0.00239714130877331,0.00339054912950242,0.00448974988116002,0.549640166341176,0.00756375476988821,0.0432143047149993,162
"11","PCB-187 Results_conc",0,0.0059630137390908,0.00749050101161489,0.00927961936831506,0.0695447352838976,0.00797728238236142,0.0058888643048238,162
