"","analytes","value_Min","value_Q25","value_Median","value_Q75","value_Max","value_Mean","value_StdDev","value_count"
"1","PCB 74 Results_SN",0.6140988718761,19.2101136550772,34.276180644047,58.5936795219188,334.744379814082,49.3629098185166,51.9999550307915,162
"2","PCB-101 Results_SN",0,211.67211407635,341.974334211444,617.402423245763,4026.73750044743,575.547688510476,674.010139533086,162
"3","PCB-105 Results_SN",0,6.86555117318201,9.17683995650599,12.258809080972,40.1217568139963,10.1919532265854,6.03415291930636,162
"4","PCB-118 Results_SN",0,40.3457876232236,50.1258370566269,67.8725256016846,218.801185860371,57.4160175915029,34.9579807318909,162
"5","PCB-138 Results_SN",0,17.3746117753135,27.1620303264011,44.2954170840699,169.969647252878,36.1540193271026,29.8131669099857,162
"6","PCB-153 Results_SN",0,21.3885809277439,29.7855276359711,50.2395668312303,185.226255821606,39.4317307605847,28.8162663762034,162
"7","PCB-156 Results_SN",0,1.44780743723377,1.959613638315,2.6314804033375,50.9728147284961,2.4362475268032,3.96473284059033,162
"8","PCB-157 Results_SN",0,0.783541475340054,1.06901831378857,1.42621282686344,49.2431388039398,1.44340732637346,3.81253914296735,162
"9","PCB-170 Results_SN",0,1.72426837933409,7.94041730410829,19.8831765157936,292.748049895654,24.8604769148842,44.3936901654397,162
"10","PCB-180 Results_SN",0,2.01326243044611,2.9057745369805,3.88766820652822,51.4074397234674,3.5239101652557,4.23573517737302,162
"11","PCB-183 Results_SN",0,2.07404841391819,2.84905409114267,3.92061114646858,96.4085168343684,3.8581163862764,7.58132869153963,162
"12","PCB-187 Results_SN",0,4.33648598587271,6.04086821500096,7.74161291241185,103.52353855253,6.95944011817162,8.27528259130176,162
